model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
xgboost,0.9554435483870968,0.0154914296066924,0.9154761904761906,0.03015220271884269,0.9354317334134963,0.024389630600948606,0.9905410890723628,0.012081706564985138,0.9737189440993788,0.032686118968627505
random_forest,0.9296370967741936,0.037903225806451626,0.8601190476190477,0.08250008589289831,0.8873207967311311,0.07332689658993576,0.9931994963308762,0.004557675690237078,0.9792378364389233,0.013465306237554429
logistic_regression,0.8856854838709678,0.023646365986122166,0.8609472049689441,0.02523187076443494,0.8493436898117561,0.023689805889346903,0.9762619353473048,0.01348387585313484,0.9378623188405797,0.027528544670230935
